expected,actual,error,max_error,pass
9.551609992980957,0.0,9.551609992980957,9.551609992980957e-06,False
6.313595771789551,0.0,6.313595771789551,6.313595771789551e-06,False
7.031860828399658,0.0,7.031860828399658,7.031860828399658e-06,False
6.994997978210449,0.0,6.994997978210449,6.994997978210449e-06,False
9.597917556762695,0.0,9.597917556762695,9.597917556762695e-06,False
7.40031623840332,0.0,7.40031623840332,7.40031623840332e-06,False
7.8873419761657715,0.0,7.8873419761657715,7.887341976165772e-06,False
8.795452117919922,0.0,8.795452117919922,8.795452117919922e-06,False
7.411308288574219,0.0,7.411308288574219,7.411308288574218e-06,False
8.83420467376709,0.0,8.83420467376709,8.83420467376709e-06,False
8.94154167175293,0.0,8.94154167175293,8.94154167175293e-06,False
5.993588447570801,0.0,5.993588447570801,5.993588447570801e-06,False
